id,level,profile,stack,experience,salary,location,comments
bfca33bed6f6f382e01b33016130a054,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
4361fa67e01b28b3290350f61a212027,senior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",3.5,36.0,Madrid ,
567b209aaa593e5b9884b5b5db51c7a9,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
d5d84304455dbc4335d3605cc4a37a38,senior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",3.0,33.0,Madrid ,
09206e1304c392e4e4732217cd3e9b81,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,48.0,Madrid ,
2efef034f163090bd85a221fc59d80d3,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,49.0,Madrid ,
d37541731f9f3b0064dbb8491566aa2c,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
eda1f94e2bd49ffa6d5102ed23a8e0cf,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,43.0,Madrid ,
d9e53f207576e1f9b8a0992953f0a90c,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.5,39.0,Madrid ,
a4413d10375313672fc1ee161563fabb,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",2.0,28.0,Madrid ,
eb061b555c97378bdb3dbe303efc8b57,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,55.0,Madrid ,
09b03d76a7237be2a497bb9685805453,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,41.0,Madrid ,
056f951f7fb0e3af6c8b44d500e42a8b,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",2.5,30.0,Madrid ,
e788428114f07473629f9830d39403ad,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.5,39.0,Madrid ,
78a217b4e31a934f0606a74d3ae01dcf,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",1.0,19.0,Madrid ,
f711481bb45c06c0805d0f281918de79,senior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",3.0,36.0,Madrid ,
7889ea0b0a93ab37844ba3bf46311e45,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",1.5,24.0,Madrid ,
c986b91a30fb47a3725b7eb555f39852,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",2.5,30.0,Madrid ,
a5bdbb455c3cfa97530d96c17cd4bc2e,junior,Programmer,"java, microservices, maven, spring, angular, hibernate, javascript",2.0,24.0,Madrid ,
87f37fb533f68d2179a67aab4fdf58fe,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
78a28e9f767f425b1ecb75354de18e06,junior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",2.5,32.0,Madrid ,
4702b52445ea589f5a771222dc5ff920,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.0,39.0,Madrid ,
5ce40ee4731e7d6247fc8bd8d4b4ad3a,expert,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",8.0,80.0,Madrid ,
5b11e7fe5ddb6383f3bce819a689927a,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,37.0,Madrid ,
af5d530068faea81780c38d6bafd6b18,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
2a469b7143fc48c46017bd75993a54e6,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,38.0,Madrid ,
f286db0f3c802865edbe370d580a8242,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.5,50.0,Madrid ,
a5f0591940abe4e84ed45edc93ac936a,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,35.0,Madrid ,
e33d870a457fe20822ac83bec8cdcacc,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,47.0,Madrid ,
87c6208c71e5026f164af4f0977d0acd,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",3.5,42.0,Madrid ,
75bcb77d8f472aa8a603b8c8fea555c5,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,59.0,Madrid ,
ee0579d5419385465ba1fa10b3348d22,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,42.0,Madrid ,
0032541af6053c0455eb7fb31fbf2522,junior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",2.0,28.0,Madrid ,
72a2ee637fe8ceff6f2e97fb7363f745,junior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",2.0,30.0,Madrid ,
ff5746d50abb579772b620372fa4b00b,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,52.0,Madrid ,
1c05740b71604c402a7c421502616519,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,55.0,Madrid ,
32b6de926e4cc830d08d7880383ee5e0,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.5,40.0,Madrid ,
3571be4720ac51975e43016fd74e4bb9,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,37.0,Madrid ,
ada5c7f1a5ca78ae30877039e85f81aa,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,35.0,Madrid ,
8aef23f46fecf97b8b9e0f2440a189d5,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",7.0,60.0,Madrid ,
eab2fa61e49ca30d9b7f7354f29aaf73,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,38.0,Madrid ,
